N,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000
sequential,0.183,0.702,1.569,2.786,4.216,5.94,7.677,9.987,12.489,15.441
parallel,0.084,0.299,0.546,0.961,1.4,1.965,3.202,3.584,4.474,5.232
