N,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
sequential,0.032,0.033,0.068,0.117,0.179,0.259,0.349,0.459,0.571,0.697
parallel,0.016,0.023,0.046,0.059,0.082,0.113,0.165,0.176,0.219,0.273
