N,500,1000,1500,2000,2500,3000,3500,4000,4500,5000
sequential,0.076,0.04,0.058,0.083,0.118,0.151,0.261,0.239,0.285,0.338
parallel,0.088,0.036,0.058,0.238,0.109,0.138,0.246,0.206,0.246,0.285
