N,10000,20000,30000,40000,50000,60000,70000,80000,90000,100000
sequential,1.366,4.511,10.272,16.961,26.002,36.869,54.533,67.069,86.825,107.249
parallel,1.031,3.39,7.399,11.87,17.794,26.583,36.913,52.903,63.826,68.599
