N,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000
sequential,0.487,1.245,2.961,4.346,6.73,9.672,12.769,16.747,20.836,25.66
parallel,0.383,0.976,2.178,3.111,4.882,6.501,8.685,12.404,15.337,17.623
