N,2000,4000,6000,8000,10000,12000,14000,16000,18000,20000
sequential,0.034,0.117,0.256,0.447,0.697,1.009,1.351,1.759,2.345,2.75
parallel,0.027,0.063,0.122,0.205,0.312,0.442,0.592,0.761,1.109,1.218
