N,100,200,300,400,500,600,700,800,900,1000
sequential,0.075,0.009,0.018,0.014,0.016,0.021,0.023,0.03,0.03,0.036
parallel,0.086,0.01,0.018,0.018,0.023,0.022,0.025,0.028,0.032,0.12
