N,2000,4000,6000,8000,10000,12000,14000,16000,18000,20000
sequential,0.034,0.121,0.255,0.444,0.701,1.0,1.343,1.74,2.231,2.729
parallel,0.14,0.397,0.439,1.59,2.072,1.047,1.182,1.553,1.869,2.106
