N,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000
sequential,0.18,0.708,1.561,2.747,4.225,6.03,7.717,10.009,12.603,15.423
parallel,0.097,0.299,0.643,1.14,1.686,2.307,3.521,4.463,5.542,6.686
