N,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
sequential,0.096,0.089,0.155,0.234,0.335,0.464,0.595,0.769,0.982,1.248
parallel,0.125,0.114,0.15,0.206,0.288,0.392,0.939,0.612,0.789,0.956
