N,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
sequential,0.102,0.086,0.148,0.236,0.335,0.475,0.599,0.758,0.99,1.195
parallel,0.098,0.081,0.223,0.206,0.296,0.378,1.095,0.588,0.827,0.905
