N,2000,4000,6000,8000,10000,12000,14000,16000,18000,20000
sequential,0.19,0.239,0.484,0.765,1.248,1.698,2.283,3.938,4.227,5.402
parallel,0.534,0.207,0.426,0.591,1.445,1.263,1.635,2.5,3.266,3.336
