N,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000
sequential,0.212,0.706,1.561,2.779,4.234,6.008,7.729,10.028,12.557,15.458
parallel,0.364,1.043,1.325,2.779,2.711,3.689,5.261,6.239,7.13,8.734
