N,2000,4000,6000,8000,10000,12000,14000,16000,18000,20000
sequential,0.034,0.118,0.257,0.478,0.706,1.016,1.364,1.77,2.272,2.775
parallel,0.024,0.059,0.115,0.186,0.264,0.383,0.49,0.635,0.819,1.002
