Edge 	Weight
8637 - 1 	1078 
20652 - 2 	1836 
21013 - 3 	652 
16620 - 4 	861 
16422 - 5 	3907 
13840 - 6 	7147 
22906 - 7 	727 
3774 - 8 	2983 
13664 - 9 	2013 
2602 - 10 	5995 
23300 - 11 	158 
19408 - 12 	5217 
12386 - 13 	1391 
19916 - 14 	2909 
16580 - 15 	2501 
4822 - 16 	5517 
13042 - 17 	805 
10795 - 18 	6183 
24072 - 19 	4590 
3421 - 20 	3077 
11920 - 21 	1018 
10942 - 22 	2590 
27938 - 23 	1910 
15655 - 24 	5423 
238 - 25 	1898 
3165 - 26 	1223 
16317 - 27 	2874 
7545 - 28 	1191 
2640 - 29 	1156 
7012 - 30 	3337 
26542 - 31 	1963 
13797 - 32 	9667 
25979 - 33 	2747 
22080 - 34 	4255 
3239 - 35 	390 
1471 - 36 	700 
21871 - 37 	3691 
15181 - 38 	9730 
3655 - 39 	7728 
1568 - 40 	3753 
5937 - 41 	6656 
893 - 42 	6319 
8734 - 43 	5477 
14932 - 44 	306 
14668 - 45 	1337 
8346 - 46 	7951 
4653 - 47 	1550 
23014 - 48 	11125 
7361 - 49 	12855 
26391 - 50 	8045 
11131 - 51 	2947 
12252 - 52 	875 
22999 - 53 	2322 
28029 - 54 	1247 
20652 - 55 	2029 
28169 - 56 	751 
13906 - 57 	2843 
18051 - 58 	2598 
3378 - 59 	1037 
408 - 60 	5270 
12620 - 61 	2446 
15666 - 62 	1196 
11807 - 63 	6101 
9747 - 64 	3648 
5684 - 65 	1727 
12896 - 66 	4113 
27875 - 67 	374 
18384 - 68 	479 
21922 - 69 	3272 
10156 - 70 	1927 
18998 - 71 	2455 
7799 - 72 	4484 
23962 - 73 	5976 
4748 - 74 	3212 
14729 - 75 	7674 
322 - 76 	3717 
8995 - 77 	4866 
25754 - 78 	3235 
24619 - 79 	7741 
11626 - 80 	2838 
9093 - 81 	2464 
3833 - 82 	4023 
15029 - 83 	2883 
14911 - 84 	2046 
12708 - 85 	4335 
4301 - 86 	738 
25870 - 87 	4075 
27795 - 88 	2082 
21512 - 89 	5137 
29579 - 90 	3874 
19467 - 91 	603 
3077 - 92 	7774 
11060 - 93 	3295 
26228 - 94 	2688 
21962 - 95 	3575 
23969 - 96 	4775 
26015 - 97 	3261 
4096 - 98 	2191 
26685 - 99 	2550 
10479 - 100 	2085 
15544 - 101 	1699 
28430 - 102 	4642 
5573 - 103 	2656 
10427 - 104 	10613 
15477 - 105 	6487 
12122 - 106 	1602 
19409 - 107 	3350 
3671 - 108 	1638 
14415 - 109 	1750 
25934 - 110 	8262 
3488 - 111 	4915 
26557 - 112 	3753 
13434 - 113 	3540 
