Edge 	Weight
9586 - 317 	10231 
17928 - 318 	6042 
25830 - 319 	7777 
14781 - 320 	1247 
10183 - 321 	1265 
36573 - 322 	5255 
10379 - 323 	1830 
34874 - 324 	1582 
15279 - 325 	2029 
4058 - 326 	12441 
19007 - 327 	439 
1663 - 328 	1017 
33059 - 329 	4435 
23832 - 330 	9107 
32885 - 331 	2369 
13558 - 332 	2079 
22760 - 333 	12994 
22437 - 334 	9570 
11725 - 335 	9260 
2176 - 336 	2954 
10971 - 337 	6974 
35006 - 338 	5598 
19132 - 339 	7745 
29391 - 340 	9264 
5523 - 341 	5587 
1828 - 342 	2897 
37490 - 343 	6025 
24735 - 344 	5318 
22510 - 345 	4855 
31567 - 346 	6186 
3199 - 347 	5069 
16280 - 348 	244 
35117 - 349 	639 
14214 - 350 	4137 
20637 - 351 	225 
39702 - 352 	3655 
3238 - 353 	4138 
37439 - 354 	5757 
5821 - 355 	390 
25015 - 356 	220 
994 - 357 	3866 
5120 - 358 	6870 
39157 - 359 	1277 
25072 - 360 	1559 
28454 - 361 	5958 
21468 - 362 	2106 
27833 - 363 	2762 
8853 - 364 	4630 
10236 - 365 	764 
39706 - 366 	875 
30867 - 367 	917 
1923 - 368 	7741 
8766 - 369 	6080 
814 - 370 	3325 
6302 - 371 	9919 
38172 - 372 	4199 
33962 - 373 	3190 
35183 - 374 	11447 
9447 - 375 	879 
39573 - 376 	3430 
2320 - 377 	5844 
709 - 378 	857 
31375 - 379 	7378 
25455 - 380 	11222 
35345 - 381 	6014 
25862 - 382 	4229 
34811 - 383 	2653 
18830 - 384 	5189 
8134 - 385 	5787 
13669 - 386 	5439 
28604 - 387 	11382 
39113 - 388 	5655 
23111 - 389 	5168 
12668 - 390 	4570 
39364 - 391 	299 
7132 - 392 	2307 
37607 - 393 	12506 
7638 - 394 	3620 
6136 - 395 	7415 
194 - 396 	5121 
5209 - 397 	6429 
15414 - 398 	9613 
25319 - 399 	4641 
25438 - 400 	6175 
24400 - 401 	498 
19192 - 402 	6377 
19627 - 403 	6622 
21814 - 404 	803 
4414 - 405 	4378 
29422 - 406 	966 
23523 - 407 	7792 
26898 - 408 	5812 
29633 - 409 	8290 
12306 - 410 	1900 
38796 - 411 	3269 
19929 - 412 	7822 
12519 - 413 	3853 
23746 - 414 	1305 
15652 - 415 	8250 
33323 - 416 	6738 
15581 - 417 	1193 
31015 - 418 	2808 
7347 - 419 	19288 
8989 - 420 	114 
28526 - 421 	709 
1974 - 422 	191 
3703 - 423 	2739 
1078 - 424 	5201 
31105 - 425 	2785 
12083 - 426 	3733 
23588 - 427 	10135 
2933 - 428 	2019 
6399 - 429 	2214 
30446 - 430 	8752 
31682 - 431 	3570 
28876 - 432 	2763 
26336 - 433 	6097 
5005 - 434 	861 
20477 - 435 	6441 
19990 - 436 	5638 
19498 - 437 	3589 
11835 - 438 	17281 
2838 - 439 	3010 
11952 - 440 	5683 
2830 - 441 	5315 
23139 - 442 	833 
18648 - 443 	1114 
16207 - 444 	2670 
7523 - 445 	1124 
29556 - 446 	3447 
38931 - 447 	5296 
28374 - 448 	3741 
10836 - 449 	3250 
25036 - 450 	4757 
5286 - 451 	4006 
32746 - 452 	1376 
25438 - 453 	3581 
18231 - 454 	2609 
32238 - 455 	9879 
27834 - 456 	5372 
31384 - 457 	289 
12681 - 458 	1242 
13296 - 459 	7241 
39160 - 460 	5271 
32026 - 461 	29 
5119 - 462 	1580 
6139 - 463 	2774 
37027 - 464 	16905 
37546 - 465 	4748 
33427 - 466 	878 
31392 - 467 	2652 
7575 - 468 	1116 
19806 - 469 	2346 
36880 - 470 	1913 
34407 - 471 	1049 
1965 - 472 	6973 
9911 - 473 	286 
30857 - 474 	2323 
4319 - 475 	6926 
19981 - 476 	14134 
10900 - 477 	560 
17189 - 478 	178 
1658 - 479 	9631 
34356 - 480 	229 
35585 - 481 	4843 
14243 - 482 	3407 
27988 - 483 	6385 
25968 - 484 	5350 
35281 - 485 	3972 
18330 - 486 	1276 
15037 - 487 	5119 
24871 - 488 	3947 
21121 - 489 	5487 
27540 - 490 	3588 
29655 - 491 	3088 
3050 - 492 	8736 
15650 - 493 	9694 
8407 - 494 	44 
27503 - 495 	3802 
799 - 496 	4511 
6008 - 497 	1814 
34524 - 498 	710 
20237 - 499 	1913 
22720 - 500 	5299 
15566 - 501 	2391 
20067 - 502 	511 
29368 - 503 	1579 
19889 - 504 	6652 
16171 - 505 	3429 
1053 - 506 	619 
27593 - 507 	4589 
20689 - 508 	854 
26615 - 509 	2487 
36727 - 510 	5596 
10034 - 511 	1551 
3094 - 512 	266 
7736 - 513 	7443 
35358 - 514 	11315 
12924 - 515 	7790 
4651 - 516 	330 
8647 - 517 	1567 
14886 - 518 	4546 
36522 - 519 	1678 
39514 - 520 	4090 
22385 - 521 	3835 
7672 - 522 	5889 
5441 - 523 	4815 
35435 - 524 	1511 
23238 - 525 	252 
15875 - 526 	9310 
20701 - 527 	1651 
11685 - 528 	9087 
12823 - 529 	7346 
34467 - 530 	786 
1755 - 531 	4128 
19307 - 532 	984 
23584 - 533 	3109 
22507 - 534 	12118 
18679 - 535 	3170 
27404 - 536 	4692 
31391 - 537 	607 
37914 - 538 	3668 
35764 - 539 	1312 
18402 - 540 	423 
19717 - 541 	8608 
29655 - 542 	3731 
25055 - 543 	1273 
6368 - 544 	4570 
32646 - 545 	8479 
9957 - 546 	860 
35292 - 547 	8770 
18636 - 548 	324 
15980 - 549 	5007 
30294 - 550 	5003 
808 - 551 	1485 
7874 - 552 	2715 
16212 - 553 	2121 
15238 - 554 	784 
4608 - 555 	5846 
25910 - 556 	3845 
29008 - 557 	1487 
13946 - 558 	8776 
4213 - 559 	1352 
25941 - 560 	3177 
22346 - 561 	4674 
29554 - 562 	2283 
9085 - 563 	6962 
3530 - 564 	6061 
20304 - 565 	1123 
36812 - 566 	2320 
13146 - 567 	475 
31175 - 568 	6042 
18865 - 569 	8829 
12105 - 570 	5240 
16358 - 571 	3056 
9831 - 572 	7697 
31167 - 573 	7609 
8754 - 574 	99 
0 - 575 	3215 
9050 - 576 	8218 
9326 - 577 	7078 
11817 - 578 	1386 
29543 - 579 	4986 
30884 - 580 	5263 
16267 - 581 	2209 
15944 - 582 	5007 
2483 - 583 	1389 
17738 - 584 	6586 
32871 - 585 	2118 
28277 - 586 	2173 
8655 - 587 	4893 
9270 - 588 	8016 
19147 - 589 	2066 
11214 - 590 	3504 
24757 - 591 	1755 
38030 - 592 	31 
3027 - 593 	4277 
37331 - 594 	5323 
34964 - 595 	4899 
5453 - 596 	884 
39990 - 597 	2017 
8820 - 598 	1737 
35326 - 599 	1844 
16135 - 600 	5333 
4647 - 601 	57 
10325 - 602 	8962 
5834 - 603 	6650 
13776 - 604 	4742 
18648 - 605 	3027 
21887 - 606 	927 
4609 - 607 	2739 
8770 - 608 	2351 
39360 - 609 	1689 
9121 - 610 	354 
20060 - 611 	214 
17491 - 612 	578 
18631 - 613 	5648 
37559 - 614 	6992 
20937 - 615 	644 
34159 - 616 	5038 
7423 - 617 	1425 
13645 - 618 	8164 
24450 - 619 	628 
28794 - 620 	3325 
7809 - 621 	1018 
1421 - 622 	4723 
31395 - 623 	1010 
18213 - 624 	3169 
26672 - 625 	5528 
35954 - 626 	17227 
11881 - 627 	3382 
33485 - 628 	4346 
16772 - 629 	645 
23050 - 630 	5058 
4187 - 631 	7011 
20581 - 632 	4548 
22694 - 633 	3061 
33962 - 634 	5299 
36428 - 635 	3606 
7138 - 636 	5715 
11459 - 637 	2152 
15499 - 638 	12197 
16076 - 639 	8825 
25882 - 640 	5604 
33001 - 641 	3095 
19227 - 642 	3599 
37188 - 643 	1082 
4064 - 644 	3943 
21703 - 645 	5442 
38965 - 646 	2085 
9579 - 647 	17765 
6351 - 648 	3569 
7434 - 649 	3169 
12603 - 650 	4924 
21267 - 651 	200 
12642 - 652 	7177 
31771 - 653 	3694 
15458 - 654 	3539 
6105 - 655 	3525 
25129 - 656 	6070 
32636 - 657 	3802 
4514 - 658 	1932 
1026 - 659 	6297 
6499 - 660 	1818 
6201 - 661 	2101 
34089 - 662 	6218 
14609 - 663 	387 
10358 - 664 	4167 
34753 - 665 	4521 
13493 - 666 	2000 
1471 - 667 	14558 
35970 - 668 	609 
5970 - 669 	1378 
4680 - 670 	3844 
2937 - 671 	10819 
18891 - 672 	3238 
13784 - 673 	5801 
22244 - 674 	5225 
3587 - 675 	1420 
10273 - 676 	1550 
13304 - 677 	75 
7589 - 678 	4004 
6733 - 679 	4422 
13552 - 680 	1422 
13425 - 681 	7410 
25567 - 682 	12970 
11148 - 683 	4980 
691 - 684 	3464 
22796 - 685 	1256 
35749 - 686 	3572 
35386 - 687 	5766 
7823 - 688 	4308 
31782 - 689 	11855 
31721 - 690 	7703 
3254 - 691 	3195 
9612 - 692 	1054 
37301 - 693 	5222 
37727 - 694 	8038 
4770 - 695 	5917 
37700 - 696 	3647 
17784 - 697 	4032 
36413 - 698 	6243 
27436 - 699 	3433 
656 - 700 	2062 
36392 - 701 	5086 
23169 - 702 	1225 
23268 - 703 	8477 
5826 - 704 	2712 
27320 - 705 	173 
22563 - 706 	4453 
19523 - 707 	3995 
17940 - 708 	3238 
22188 - 709 	1451 
36524 - 710 	11429 
6464 - 711 	5092 
16021 - 712 	1857 
22305 - 713 	7930 
28110 - 714 	9355 
2039 - 715 	872 
4028 - 716 	6341 
10643 - 717 	1801 
34514 - 718 	4446 
8205 - 719 	2927 
4286 - 720 	6180 
13776 - 721 	710 
16263 - 722 	6562 
4420 - 723 	4055 
6894 - 724 	10655 
31382 - 725 	7964 
3163 - 726 	5931 
13609 - 727 	2613 
39018 - 728 	2695 
33585 - 729 	8297 
1175 - 730 	22402 
36058 - 731 	1212 
35767 - 732 	738 
5791 - 733 	555 
21139 - 734 	2372 
28650 - 735 	4114 
8448 - 736 	725 
31369 - 737 	495 
27239 - 738 	4198 
21978 - 739 	4229 
38511 - 740 	1082 
1610 - 741 	2688 
36237 - 742 	7923 
4615 - 743 	5087 
12050 - 744 	4885 
22167 - 745 	2896 
15811 - 746 	2437 
28027 - 747 	10529 
2328 - 748 	1270 
13860 - 749 	6488 
9178 - 750 	9678 
1709 - 751 	5041 
4808 - 752 	776 
26924 - 753 	5742 
1160 - 754 	10409 
30715 - 755 	4677 
26081 - 756 	2147 
12622 - 757 	2200 
28565 - 758 	1749 
1305 - 759 	560 
23263 - 760 	17983 
19131 - 761 	776 
25826 - 762 	4660 
33951 - 763 	4817 
3628 - 764 	345 
35916 - 765 	6350 
17479 - 766 	141 
26080 - 767 	5278 
17062 - 768 	2281 
12064 - 769 	1078 
14967 - 770 	359 
21494 - 771 	438 
18572 - 772 	24 
10610 - 773 	9994 
38235 - 774 	10326 
16310 - 775 	535 
22900 - 776 	1591 
4070 - 777 	5663 
27717 - 778 	5112 
12758 - 779 	192 
38706 - 780 	2219 
35253 - 781 	11288 
4599 - 782 	2978 
9107 - 783 	269 
39867 - 784 	95 
16770 - 785 	11243 
12917 - 786 	13571 
17579 - 787 	5280 
18866 - 788 	5417 
7021 - 789 	5653 
34657 - 790 	7241 
35027 - 791 	3908 
25794 - 792 	1147 
15246 - 793 	7339 
29691 - 794 	4640 
3817 - 795 	1551 
6040 - 796 	3692 
4353 - 797 	7714 
6926 - 798 	1526 
13154 - 799 	654 
6900 - 800 	4056 
18621 - 801 	2836 
2070 - 802 	5359 
17292 - 803 	1337 
10744 - 804 	6056 
30870 - 805 	3906 
7038 - 806 	20 
28765 - 807 	6996 
36658 - 808 	2268 
16490 - 809 	4943 
29758 - 810 	4682 
7693 - 811 	4564 
2363 - 812 	4 
39802 - 813 	2851 
21901 - 814 	2696 
23461 - 815 	1963 
29949 - 816 	3112 
16546 - 817 	916 
25487 - 818 	9860 
16479 - 819 	5853 
11213 - 820 	9651 
10369 - 821 	8034 
24464 - 822 	1419 
3305 - 823 	569 
36038 - 824 	6126 
4868 - 825 	687 
7904 - 826 	1099 
21006 - 827 	2425 
37278 - 828 	3566 
19197 - 829 	11816 
29998 - 830 	6870 
38657 - 831 	110 
26036 - 832 	8313 
18612 - 833 	70 
25742 - 834 	6416 
560 - 835 	468 
39820 - 836 	12327 
18311 - 837 	6031 
4192 - 838 	7887 
2816 - 839 	839 
11634 - 840 	344 
7806 - 841 	3139 
37329 - 842 	846 
2392 - 843 	2762 
19406 - 844 	3430 
34426 - 845 	9658 
29404 - 846 	4991 
3242 - 847 	3020 
31673 - 848 	8457 
3036 - 849 	8369 
23250 - 850 	701 
13976 - 851 	4280 
4771 - 852 	811 
26837 - 853 	7326 
4705 - 854 	209 
4314 - 855 	3595 
39963 - 856 	4657 
32885 - 857 	4982 
22835 - 858 	5603 
6631 - 859 	3259 
2057 - 860 	2181 
30951 - 861 	4761 
3541 - 862 	564 
12896 - 863 	980 
5377 - 864 	5454 
37542 - 865 	185 
13808 - 866 	5199 
32992 - 867 	6634 
36361 - 868 	1891 
35765 - 869 	4963 
26552 - 870 	2019 
21102 - 871 	2813 
23160 - 872 	4642 
9406 - 873 	4157 
1782 - 874 	1528 
36542 - 875 	4618 
28525 - 876 	11221 
34612 - 877 	10906 
6348 - 878 	7384 
30009 - 879 	5314 
17871 - 880 	5379 
23461 - 881 	1832 
5870 - 882 	8850 
19061 - 883 	1206 
456 - 884 	7050 
18766 - 885 	4646 
27639 - 886 	1889 
4902 - 887 	2352 
21804 - 888 	10441 
4235 - 889 	6043 
763 - 890 	3069 
9471 - 891 	34 
32170 - 892 	5022 
10755 - 893 	7661 
19925 - 894 	1583 
34692 - 895 	3377 
37405 - 896 	4073 
35217 - 897 	2132 
30953 - 898 	5611 
18309 - 899 	8438 
27523 - 900 	6691 
33696 - 901 	7240 
216 - 902 	3268 
5166 - 903 	302 
26286 - 904 	3584 
10718 - 905 	3118 
32406 - 906 	5502 
12099 - 907 	5667 
15339 - 908 	2530 
1545 - 909 	1357 
9273 - 910 	2465 
15096 - 911 	3673 
27113 - 912 	10020 
7350 - 913 	9712 
34209 - 914 	4300 
25544 - 915 	839 
32646 - 916 	2866 
39138 - 917 	683 
5420 - 918 	12421 
35512 - 919 	4555 
38056 - 920 	1604 
18289 - 921 	1902 
18767 - 922 	5727 
29610 - 923 	999 
9844 - 924 	1027 
13209 - 925 	6301 
30301 - 926 	6249 
16622 - 927 	10432 
13575 - 928 	4592 
36639 - 929 	5581 
19000 - 930 	9202 
38350 - 931 	3782 
20892 - 932 	5469 
32797 - 933 	8294 
11087 - 934 	3987 
10604 - 935 	1134 
4623 - 936 	3316 
14580 - 937 	5259 
11475 - 938 	3813 
37146 - 939 	813 
16428 - 940 	9825 
15895 - 941 	7382 
39331 - 942 	2274 
32244 - 943 	2372 
9119 - 944 	19321 
37392 - 945 	3965 
34059 - 946 	914 
169 - 947 	21777 
13326 - 948 	8131 
31108 - 949 	533 
13447 - 950 	876 
4106 - 951 	3580 
19938 - 952 	3602 
25090 - 953 	4305 
14436 - 954 	2933 
38562 - 955 	45 
16974 - 956 	6940 
24395 - 957 	4492 
1647 - 958 	1400 
12307 - 959 	5668 
17078 - 960 	3290 
12454 - 961 	4170 
36507 - 962 	3528 
7345 - 963 	1841 
1587 - 964 	918 
5530 - 965 	8281 
18762 - 966 	2912 
15547 - 967 	1771 
32969 - 968 	5114 
11369 - 969 	8497 
12042 - 970 	5546 
19740 - 971 	1978 
11388 - 972 	5560 
37745 - 973 	5265 
26651 - 974 	5531 
22396 - 975 	2143 
31453 - 976 	1085 
26553 - 977 	3226 
38895 - 978 	3990 
14869 - 979 	3799 
4530 - 980 	4141 
13370 - 981 	1780 
856 - 982 	317 
10568 - 983 	2032 
17635 - 984 	4514 
21137 - 985 	6771 
9683 - 986 	466 
14829 - 987 	9026 
33458 - 988 	3717 
12417 - 989 	2002 
24154 - 990 	3359 
23989 - 991 	10117 
7049 - 992 	174 
30627 - 993 	10257 
23326 - 994 	1751 
10783 - 995 	8683 
32609 - 996 	778 
33015 - 997 	9959 
35775 - 998 	2700 
13511 - 999 	6004 
22589 - 1000 	5151 
29732 - 1001 	3638 
9293 - 1002 	1815 
31920 - 1003 	4436 
855 - 1004 	9988 
2472 - 1005 	4163 
32897 - 1006 	1410 
39163 - 1007 	4016 
6129 - 1008 	7034 
7606 - 1009 	14477 
13508 - 1010 	878 
7960 - 1011 	4239 
17816 - 1012 	7117 
32544 - 1013 	2582 
11787 - 1014 	7161 
24978 - 1015 	3759 
36174 - 1016 	3385 
22256 - 1017 	10915 
12913 - 1018 	7462 
19882 - 1019 	981 
25279 - 1020 	8522 
21726 - 1021 	432 
12257 - 1022 	257 
35615 - 1023 	6194 
16148 - 1024 	15518 
18887 - 1025 	2998 
31733 - 1026 	2316 
24641 - 1027 	2030 
14952 - 1028 	928 
37555 - 1029 	3135 
9117 - 1030 	2425 
37478 - 1031 	202 
36352 - 1032 	5061 
1403 - 1033 	731 
30003 - 1034 	877 
22506 - 1035 	2555 
33347 - 1036 	2079 
27993 - 1037 	6245 
16944 - 1038 	723 
10153 - 1039 	2640 
14870 - 1040 	100 
35586 - 1041 	3549 
6678 - 1042 	2253 
2645 - 1043 	1524 
26562 - 1044 	6289 
23268 - 1045 	628 
6163 - 1046 	1848 
28275 - 1047 	2826 
6 - 1048 	6615 
37893 - 1049 	1948 
33031 - 1050 	859 
21334 - 1051 	4257 
3410 - 1052 	2407 
17842 - 1053 	5007 
11693 - 1054 	8726 
33254 - 1055 	4614 
9856 - 1056 	2244 
6680 - 1057 	7002 
9138 - 1058 	7269 
13767 - 1059 	1803 
9919 - 1060 	616 
9869 - 1061 	5499 
23488 - 1062 	7039 
13604 - 1063 	1633 
30687 - 1064 	4011 
23542 - 1065 	3116 
11221 - 1066 	2007 
39697 - 1067 	18559 
9514 - 1068 	1351 
18293 - 1069 	3396 
28310 - 1070 	3087 
19445 - 1071 	5065 
1623 - 1072 	6161 
37414 - 1073 	4328 
3682 - 1074 	1163 
37109 - 1075 	2438 
13060 - 1076 	5343 
14044 - 1077 	3328 
31801 - 1078 	1376 
17527 - 1079 	2019 
10299 - 1080 	8756 
27886 - 1081 	4782 
2553 - 1082 	5987 
38829 - 1083 	2843 
14622 - 1084 	928 
35862 - 1085 	5256 
38289 - 1086 	5119 
29673 - 1087 	2121 
17043 - 1088 	1807 
6147 - 1089 	2934 
17868 - 1090 	1317 
16257 - 1091 	4041 
3323 - 1092 	6549 
23747 - 1093 	1339 
16780 - 1094 	2972 
25157 - 1095 	647 
6792 - 1096 	3954 
10861 - 1097 	3836 
4620 - 1098 	6110 
32400 - 1099 	675 
29233 - 1100 	1386 
35564 - 1101 	4121 
12082 - 1102 	4464 
18335 - 1103 	7461 
23927 - 1104 	7579 
29368 - 1105 	580 
17115 - 1106 	2349 
35190 - 1107 	3424 
32688 - 1108 	2956 
23705 - 1109 	2884 
4650 - 1110 	1320 
35804 - 1111 	1727 
37033 - 1112 	391 
10274 - 1113 	3420 
36036 - 1114 	3128 
22505 - 1115 	2959 
23279 - 1116 	412 
23677 - 1117 	3934 
33 - 1118 	14237 
36686 - 1119 	4176 
3048 - 1120 	7779 
27111 - 1121 	6996 
37751 - 1122 	10847 
29606 - 1123 	3781 
29304 - 1124 	1527 
18335 - 1125 	11987 
5101 - 1126 	1781 
8594 - 1127 	423 
22206 - 1128 	2336 
15649 - 1129 	496 
16413 - 1130 	2294 
3109 - 1131 	20756 
11028 - 1132 	6398 
21711 - 1133 	6370 
4693 - 1134 	3559 
7593 - 1135 	3979 
716 - 1136 	6369 
34752 - 1137 	5730 
35227 - 1138 	3926 
7062 - 1139 	3199 
11803 - 1140 	582 
19392 - 1141 	4888 
36245 - 1142 	5004 
12733 - 1143 	870 
30470 - 1144 	5558 
18475 - 1145 	7936 
2639 - 1146 	7612 
39258 - 1147 	8097 
18965 - 1148 	8653 
28982 - 1149 	16746 
27278 - 1150 	2329 
25094 - 1151 	7057 
13863 - 1152 	6219 
25549 - 1153 	4405 
3077 - 1154 	5790 
21988 - 1155 	3158 
33 - 1156 	10112 
16103 - 1157 	7780 
14551 - 1158 	4151 
23255 - 1159 	1618 
21908 - 1160 	4367 
31342 - 1161 	10439 
12311 - 1162 	11849 
35735 - 1163 	5178 
2582 - 1164 	3602 
15147 - 1165 	2791 
13406 - 1166 	4447 
3923 - 1167 	4149 
