Edge 	Weight
26865 - 1 	743 
14331 - 2 	58 
26870 - 3 	5932 
17124 - 4 	1559 
36802 - 5 	3779 
39165 - 6 	4969 
11343 - 7 	7142 
37740 - 8 	3137 
23150 - 9 	2659 
10235 - 10 	5351 
16554 - 11 	3334 
17694 - 12 	2627 
37506 - 13 	1807 
28266 - 14 	3432 
10824 - 15 	3909 
27048 - 16 	3953 
4361 - 17 	3244 
3551 - 18 	335 
22537 - 19 	1127 
9865 - 20 	3927 
18490 - 21 	4556 
14538 - 22 	3764 
16236 - 23 	816 
23352 - 24 	731 
26867 - 25 	1926 
21638 - 26 	4747 
34524 - 27 	6375 
28936 - 28 	2481 
38144 - 29 	2597 
21178 - 30 	14769 
10400 - 31 	8385 
34732 - 32 	3473 
31866 - 33 	1574 
29104 - 34 	4210 
37983 - 35 	5327 
8081 - 36 	383 
11520 - 37 	3604 
33364 - 38 	3660 
10441 - 39 	4280 
20962 - 40 	9863 
24682 - 41 	7535 
25904 - 42 	3110 
22490 - 43 	7136 
2705 - 44 	7878 
6751 - 45 	3888 
19681 - 46 	1204 
12085 - 47 	14187 
21506 - 48 	9851 
8375 - 49 	8179 
13761 - 50 	5234 
14958 - 51 	6713 
18382 - 52 	2513 
39601 - 53 	16990 
8238 - 54 	902 
29186 - 55 	5905 
12734 - 56 	2712 
7751 - 57 	3031 
1442 - 58 	1242 
10400 - 59 	5815 
17938 - 60 	5741 
17729 - 61 	6280 
21316 - 62 	2431 
18448 - 63 	8861 
13585 - 64 	2181 
27080 - 65 	3982 
37662 - 66 	2442 
3278 - 67 	5041 
17748 - 68 	636 
9071 - 69 	6127 
31361 - 70 	1082 
30434 - 71 	3311 
23945 - 72 	1788 
3204 - 73 	218 
11299 - 74 	3949 
5944 - 75 	5952 
31367 - 76 	7008 
6378 - 77 	6139 
16898 - 78 	4717 
39419 - 79 	2182 
17554 - 80 	1482 
10949 - 81 	5523 
30999 - 82 	3286 
9337 - 83 	3177 
13450 - 84 	2643 
28248 - 85 	2069 
24766 - 86 	2515 
8942 - 87 	5030 
32198 - 88 	1412 
3454 - 89 	7392 
21652 - 90 	670 
9682 - 91 	142 
26378 - 92 	2654 
16517 - 93 	3633 
18713 - 94 	6923 
15277 - 95 	1095 
13672 - 96 	12149 
34484 - 97 	777 
2500 - 98 	3947 
4851 - 99 	5317 
7586 - 100 	12091 
8777 - 101 	11437 
13100 - 102 	3623 
14823 - 103 	9751 
37828 - 104 	4911 
24499 - 105 	3389 
28365 - 106 	8255 
6453 - 107 	2381 
29417 - 108 	7057 
4057 - 109 	7186 
649 - 110 	6660 
2918 - 111 	2416 
18888 - 112 	7354 
30696 - 113 	2117 
14041 - 114 	6522 
8152 - 115 	5914 
10137 - 116 	3235 
39026 - 117 	5096 
11777 - 118 	1269 
6243 - 119 	2896 
3573 - 120 	5258 
34089 - 121 	2526 
788 - 122 	20240 
35552 - 123 	3919 
32248 - 124 	4548 
20047 - 125 	3980 
29702 - 126 	7223 
23864 - 127 	5243 
35704 - 128 	5145 
10570 - 129 	1523 
32928 - 130 	3202 
5966 - 131 	10519 
17061 - 132 	8404 
6501 - 133 	8674 
17596 - 134 	716 
14128 - 135 	2711 
18544 - 136 	134 
35267 - 137 	3574 
2676 - 138 	2561 
24450 - 139 	6802 
13737 - 140 	7768 
31371 - 141 	25 
33067 - 142 	2657 
28328 - 143 	4708 
12441 - 144 	7925 
5552 - 145 	6856 
27480 - 146 	1173 
35778 - 147 	6215 
28273 - 148 	3570 
29641 - 149 	4994 
580 - 150 	9680 
21183 - 151 	570 
5051 - 152 	4503 
23746 - 153 	4212 
19538 - 154 	9827 
8903 - 155 	2431 
4686 - 156 	1695 
35483 - 157 	3841 
1868 - 158 	1148 
35678 - 159 	3801 
10237 - 160 	4880 
17110 - 161 	3079 
2484 - 162 	1365 
28699 - 163 	4185 
12692 - 164 	1167 
25144 - 165 	3970 
15522 - 166 	8234 
1935 - 167 	933 
11102 - 168 	5073 
37656 - 169 	683 
37354 - 170 	6790 
2686 - 171 	3806 
18714 - 172 	6875 
15720 - 173 	3187 
1265 - 174 	1868 
5682 - 175 	6358 
19064 - 176 	7180 
21189 - 177 	3679 
12917 - 178 	113 
13676 - 179 	5420 
23181 - 180 	3681 
30175 - 181 	7806 
21096 - 182 	1956 
32644 - 183 	36 
8691 - 184 	1179 
28238 - 185 	10639 
27109 - 186 	9184 
38429 - 187 	1620 
26340 - 188 	8035 
27892 - 189 	5350 
13489 - 190 	5315 
16314 - 191 	3966 
23224 - 192 	1704 
11405 - 193 	6180 
21100 - 194 	5350 
8209 - 195 	1424 
6245 - 196 	493 
37602 - 197 	8306 
28165 - 198 	2504 
15560 - 199 	990 
18337 - 200 	728 
11276 - 201 	4660 
31582 - 202 	737 
36606 - 203 	4119 
25858 - 204 	4116 
30321 - 205 	15318 
373 - 206 	4797 
23636 - 207 	3894 
26447 - 208 	7329 
9847 - 209 	4118 
37718 - 210 	1784 
37200 - 211 	1332 
7629 - 212 	925 
32719 - 213 	6207 
6885 - 214 	5347 
19627 - 215 	3319 
1877 - 216 	1875 
11816 - 217 	1448 
30451 - 218 	11647 
8226 - 219 	6383 
4168 - 220 	238 
34538 - 221 	7470 
10468 - 222 	1362 
16619 - 223 	6499 
18898 - 224 	21528 
38582 - 225 	3796 
21181 - 226 	184 
18259 - 227 	3487 
16370 - 228 	6537 
4706 - 229 	422 
21347 - 230 	12288 
38998 - 231 	7469 
23620 - 232 	11071 
27815 - 233 	6975 
27755 - 234 	6506 
12912 - 235 	255 
17129 - 236 	4960 
4196 - 237 	743 
13706 - 238 	2625 
27384 - 239 	570 
31535 - 240 	3037 
17564 - 241 	1931 
921 - 242 	297 
20973 - 243 	5061 
27075 - 244 	4121 
28589 - 245 	8471 
21529 - 246 	7971 
11309 - 247 	2835 
6731 - 248 	1152 
17436 - 249 	5075 
34567 - 250 	8553 
36979 - 251 	1257 
16538 - 252 	2144 
13453 - 253 	6198 
24220 - 254 	4240 
14206 - 255 	701 
16754 - 256 	4864 
21702 - 257 	57 
23467 - 258 	11150 
21845 - 259 	13236 
19567 - 260 	21688 
22087 - 261 	10031 
3899 - 262 	920 
23689 - 263 	1211 
13562 - 264 	6161 
4914 - 265 	11467 
38090 - 266 	3831 
18526 - 267 	2985 
32991 - 268 	7681 
6910 - 269 	6401 
3903 - 270 	2569 
32077 - 271 	15265 
8827 - 272 	315 
4538 - 273 	7533 
38187 - 274 	4712 
24068 - 275 	8018 
8361 - 276 	11639 
18231 - 277 	1880 
23494 - 278 	3526 
25735 - 279 	953 
2455 - 280 	1070 
1981 - 281 	4100 
36989 - 282 	1007 
33405 - 283 	1862 
20755 - 284 	6877 
7833 - 285 	3341 
26464 - 286 	3311 
33013 - 287 	840 
21720 - 288 	3542 
10237 - 289 	4954 
21417 - 290 	4148 
8003 - 291 	4515 
36125 - 292 	10599 
20882 - 293 	6128 
9829 - 294 	9244 
4883 - 295 	3288 
29534 - 296 	754 
20204 - 297 	4527 
27139 - 298 	2235 
35045 - 299 	648 
36709 - 300 	1381 
24693 - 301 	10519 
29995 - 302 	1094 
36358 - 303 	3740 
24854 - 304 	4864 
17422 - 305 	453 
22753 - 306 	8172 
22243 - 307 	3897 
29833 - 308 	8075 
24567 - 309 	2739 
27966 - 310 	9378 
2171 - 311 	3007 
25977 - 312 	3290 
24821 - 313 	22360 
8185 - 314 	15722 
5622 - 315 	3048 
31369 - 316 	3384 
