Edge 	Weight
17659 - 294 	5468
34140 - 295 	37095
47872 - 296 	1066
21479 - 297 	10414
20487 - 298 	11433
40275 - 299 	6029
26555 - 300 	6782
42938 - 301 	955
4027 - 302 	7287
26617 - 303 	9482
48706 - 304 	11731
15082 - 305 	2158
44158 - 306 	3906
42937 - 307 	3410
41742 - 308 	6221
3924 - 309 	6768
11406 - 310 	4732
24047 - 311 	8596
28904 - 312 	1656
5188 - 313 	3998
36287 - 314 	5107
8909 - 315 	4443
14019 - 316 	2191
44929 - 317 	8818
9450 - 318 	7474
23389 - 319 	1383
16186 - 320 	9040
44380 - 321 	2402
41210 - 322 	10335
24652 - 323 	6381
36736 - 324 	2515
29741 - 325 	5357
44758 - 326 	16356
22928 - 327 	6213
39500 - 328 	6803
31873 - 329 	8149
19933 - 330 	8911
15993 - 331 	168
13791 - 332 	7648
1285 - 333 	13743
37351 - 334 	687
10189 - 335 	2133
24139 - 336 	2767
1916 - 337 	1313
24552 - 338 	11244
35084 - 339 	1190
10155 - 340 	5008
23770 - 341 	6296
1863 - 342 	2381
14008 - 343 	532
42523 - 344 	8157
31179 - 345 	1311
7692 - 346 	260
26144 - 347 	2519
22142 - 348 	8181
30923 - 349 	7123
37390 - 350 	5228
4540 - 351 	5358
25026 - 352 	2543
31554 - 353 	9262
39508 - 354 	5557
37113 - 355 	10787
43060 - 356 	6446
34316 - 357 	10785
4457 - 358 	4187
27731 - 359 	515
11141 - 360 	1693
38032 - 361 	8195
15996 - 362 	5356
24899 - 363 	1865
37942 - 364 	14127
48955 - 365 	8968
9167 - 366 	2754
31158 - 367 	17255
33726 - 368 	2129
31041 - 369 	692
4340 - 370 	6788
12284 - 371 	8465
22493 - 372 	7524
4776 - 373 	13911
25383 - 374 	11745
42220 - 375 	3783
30013 - 376 	10365
8591 - 377 	3993
18900 - 378 	18010
35519 - 379 	9746
16097 - 380 	19796
29193 - 381 	2137
14662 - 382 	4738
36054 - 383 	6260
36979 - 384 	4116
43989 - 385 	708
12384 - 386 	11671
35120 - 387 	6266
14070 - 388 	174
9630 - 389 	5747
19619 - 390 	237
23894 - 391 	9889
42985 - 392 	12106
44619 - 393 	4747
20900 - 394 	9737
10769 - 395 	2691
5171 - 396 	5786
19418 - 397 	6516
47451 - 398 	353
21476 - 399 	8329
3526 - 400 	18547
44225 - 401 	4431
22261 - 402 	18401
7701 - 403 	8415
30915 - 404 	4886
7130 - 405 	1048
35188 - 406 	1430
21018 - 407 	3068
20806 - 408 	5082
34373 - 409 	5415
39492 - 410 	1526
12261 - 411 	11135
44386 - 412 	11693
26485 - 413 	1390
44169 - 414 	20252
32805 - 415 	1479
12791 - 416 	2226
23891 - 417 	12017
26275 - 418 	9532
46936 - 419 	3942
24911 - 420 	8661
27560 - 421 	7199
36676 - 422 	3480
38316 - 423 	5137
44565 - 424 	2973
6780 - 425 	14116
17070 - 426 	6849
35220 - 427 	779
44078 - 428 	1317
18798 - 429 	4153
25561 - 430 	7047
37634 - 431 	2188
47053 - 432 	2021
802 - 433 	7352
43598 - 434 	7962
13419 - 435 	17964
32136 - 436 	14097
49807 - 437 	2077
4412 - 438 	116
2 - 439 	181
41486 - 440 	1219
39220 - 441 	5198
12568 - 442 	9725
12848 - 443 	6936
39696 - 444 	3271
4656 - 445 	2144
1324 - 446 	8837
37995 - 447 	8735
28454 - 448 	5455
43933 - 449 	494
31086 - 450 	3061
7404 - 451 	6182
16027 - 452 	4392
42175 - 453 	5265
31938 - 454 	1978
47796 - 455 	4643
662 - 456 	14413
12510 - 457 	13191
14467 - 458 	983
46217 - 459 	3571
27623 - 460 	9167
15880 - 461 	17201
33642 - 462 	6338
14053 - 463 	4515
24372 - 464 	3479
41782 - 465 	3105
35792 - 466 	5506
16527 - 467 	7394
33846 - 468 	4562
13722 - 469 	133
17669 - 470 	3879
25106 - 471 	7217
49340 - 472 	556
