Edge 	Weight
658 - 280 	878 
14 - 281 	823 
2779 - 282 	1615 
9723 - 283 	5108 
52 - 284 	510 
6631 - 285 	259 
4964 - 286 	1692 
5788 - 287 	450 
473 - 288 	1195 
7983 - 289 	1331 
6889 - 290 	701 
7101 - 291 	108 
1662 - 292 	1268 
4550 - 293 	160 
7702 - 294 	548 
2747 - 295 	289 
5974 - 296 	638 
4944 - 297 	1521 
9913 - 298 	1156 
8015 - 299 	1150 
1035 - 300 	368 
5446 - 301 	1232 
4955 - 302 	618 
1166 - 303 	632 
3825 - 304 	493 
579 - 305 	1031 
186 - 306 	641 
8862 - 307 	1905 
3943 - 308 	1664 
9040 - 309 	1279 
599 - 310 	1012 
7123 - 311 	2617 
7248 - 312 	1219 
8152 - 313 	202 
397 - 314 	445 
4030 - 315 	672 
710 - 316 	1462 
7630 - 317 	1398 
1422 - 318 	1212 
4967 - 319 	848 
5560 - 320 	905 
496 - 321 	1132 
3700 - 322 	668 
9841 - 323 	2512 
2059 - 324 	341 
1154 - 325 	162 
3005 - 326 	594 
1164 - 327 	454 
7718 - 328 	424 
6005 - 329 	575 
1502 - 330 	277 
8116 - 331 	63 
3456 - 332 	1006 
9800 - 333 	1321 
2700 - 334 	3999 
5186 - 335 	1901 
7477 - 336 	1070 
3308 - 337 	386 
2548 - 338 	494 
1170 - 339 	1471 
7200 - 340 	1150 
6206 - 341 	2734 
2144 - 342 	754 
7483 - 343 	1173 
1063 - 344 	1300 
5979 - 345 	1003 
9847 - 346 	2343 
4487 - 347 	760 
5613 - 348 	2176 
6817 - 349 	1088 
739 - 350 	701 
5644 - 351 	2435 
9628 - 352 	133 
9445 - 353 	1075 
7306 - 354 	965 
2454 - 355 	672 
1667 - 356 	1096 
4791 - 357 	965 
5254 - 358 	1401 
4746 - 359 	257 
4554 - 360 	398 
4261 - 361 	26 
9145 - 362 	253 
7959 - 363 	2879 
2311 - 364 	3381 
5174 - 365 	1305 
7535 - 366 	697 
8886 - 367 	218 
9695 - 368 	1902 
343 - 369 	1552 
1668 - 370 	257 
8584 - 371 	924 
2743 - 372 	969 
1565 - 373 	1759 
6702 - 374 	1260 
4246 - 375 	256 
1317 - 376 	1115 
7571 - 377 	243 
8919 - 378 	1433 
6024 - 379 	373 
3791 - 380 	16 
174 - 381 	693 
904 - 382 	440 
1959 - 383 	1611 
7472 - 384 	290 
9626 - 385 	475 
8499 - 386 	1213 
2104 - 387 	1471 
8642 - 388 	304 
1577 - 389 	600 
2347 - 390 	446 
9438 - 391 	415 
5726 - 392 	2732 
9710 - 393 	1075 
4581 - 394 	1344 
4005 - 395 	403 
1470 - 396 	392 
1589 - 397 	470 
2539 - 398 	474 
2537 - 399 	209 
2051 - 400 	1195 
5013 - 401 	1757 
629 - 402 	776 
1909 - 403 	832 
2094 - 404 	114 
1987 - 405 	1341 
1377 - 406 	1114 
9750 - 407 	1431 
3019 - 408 	1273 
4995 - 409 	1348 
2260 - 410 	1241 
5611 - 411 	5555 
3150 - 412 	473 
9303 - 413 	684 
8539 - 414 	2050 
3881 - 415 	75 
8624 - 416 	718 
3972 - 417 	2421 
5033 - 418 	2423 
2594 - 419 	481 
5080 - 420 	1051 
6460 - 421 	3274 
6920 - 422 	288 
3410 - 423 	628 
4742 - 424 	2773 
9510 - 425 	1731 
3304 - 426 	948 
4974 - 427 	1494 
2266 - 428 	540 
1664 - 429 	2975 
778 - 430 	2711 
8848 - 431 	565 
1516 - 432 	495 
7467 - 433 	1147 
9965 - 434 	441 
9612 - 435 	395 
7468 - 436 	984 
6044 - 437 	752 
3033 - 438 	4907 
6442 - 439 	1376 
2339 - 440 	1428 
8919 - 441 	1220 
7052 - 442 	181 
141 - 443 	1722 
3998 - 444 	2002 
3081 - 445 	964 
3805 - 446 	2969 
3055 - 447 	1205 
7293 - 448 	2035 
2289 - 449 	1742 
2840 - 450 	1490 
8644 - 451 	814 
4322 - 452 	475 
5748 - 453 	1925 
4581 - 454 	1966 
5479 - 455 	2255 
7459 - 456 	781 
2423 - 457 	1047 
6720 - 458 	1949 
8908 - 459 	579 
9499 - 460 	1950 
2791 - 461 	1676 
6494 - 462 	215 
5315 - 463 	610 
5696 - 464 	1177 
6722 - 465 	743 
949 - 466 	1757 
4707 - 467 	778 
390 - 468 	2635 
8196 - 469 	1350 
1605 - 470 	831 
1460 - 471 	3027 
2588 - 472 	2159 
9936 - 473 	731 
4922 - 474 	329 
3653 - 475 	1254 
6180 - 476 	609 
9141 - 477 	1436 
2946 - 478 	266 
4538 - 479 	421 
8987 - 480 	965 
4442 - 481 	1536 
1455 - 482 	1794 
6480 - 483 	1535 
9614 - 484 	36 
7993 - 485 	756 
6812 - 486 	1207 
8616 - 487 	3002 
2243 - 488 	742 
8827 - 489 	1005 
3982 - 490 	1307 
3334 - 491 	797 
150 - 492 	396 
3178 - 493 	1897 
2793 - 494 	2700 
7828 - 495 	1048 
2921 - 496 	201 
1650 - 497 	1107 
4491 - 498 	2448 
9960 - 499 	3449 
7296 - 500 	2500 
5297 - 501 	1079 
6906 - 502 	1369 
7244 - 503 	1045 
5178 - 504 	2177 
4755 - 505 	557 
7270 - 506 	616 
7491 - 507 	344 
2258 - 508 	2685 
1856 - 509 	964 
2164 - 510 	2745 
5187 - 511 	250 
4050 - 512 	967 
910 - 513 	1277 
2058 - 514 	1027 
3400 - 515 	653 
5791 - 516 	236 
8110 - 517 	153 
9631 - 518 	1794 
3398 - 519 	728 
4715 - 520 	407 
1794 - 521 	994 
2736 - 522 	1676 
2561 - 523 	796 
0 - 524 	1120 
5393 - 525 	1101 
681 - 526 	3185 
1595 - 527 	1967 
2705 - 528 	1180 
5490 - 529 	279 
6583 - 530 	1842 
9513 - 531 	959 
5161 - 532 	639 
3804 - 533 	2573 
8896 - 534 	3457 
3372 - 535 	5628 
9383 - 536 	2213 
192 - 537 	891 
8638 - 538 	1132 
7964 - 539 	3037 
52 - 540 	551 
8885 - 541 	2134 
9321 - 542 	346 
9619 - 543 	1223 
8946 - 544 	1199 
959 - 545 	1744 
7544 - 546 	278 
8026 - 547 	1688 
7931 - 548 	930 
9469 - 549 	877 
4386 - 550 	64 
3269 - 551 	135 
6544 - 552 	1324 
76 - 553 	216 
6729 - 554 	2038 
6547 - 555 	1456 
2148 - 556 	1265 
5034 - 557 	82 
7594 - 558 	2245 
9826 - 559 	430 
7440 - 560 	439 
3347 - 561 	1507 
4462 - 562 	4131 
1399 - 563 	502 
5718 - 564 	450 
9759 - 565 	484 
5572 - 566 	100 
5869 - 567 	516 
4627 - 568 	1812 
7957 - 569 	3008 
5335 - 570 	2072 
3181 - 571 	71 
5805 - 572 	1853 
8946 - 573 	742 
8298 - 574 	1277 
9688 - 575 	422 
9586 - 576 	2654 
8539 - 577 	1384 
9030 - 578 	728 
7396 - 579 	636 
6864 - 580 	232 
754 - 581 	713 
6774 - 582 	170 
8189 - 583 	1208 
8723 - 584 	1116 
4594 - 585 	1134 
4077 - 586 	977 
3730 - 587 	602 
