Edge 	Weight
1120 - 97 	656 
6028 - 98 	2059 
16494 - 99 	5010 
18357 - 100 	42 
11307 - 101 	4510 
5592 - 102 	1886 
4714 - 103 	3173 
1265 - 104 	1829 
7009 - 105 	524 
9660 - 106 	716 
17312 - 107 	3825 
13856 - 108 	2539 
9387 - 109 	916 
11952 - 110 	4201 
19228 - 111 	1865 
6223 - 112 	2823 
11583 - 113 	1145 
996 - 114 	1824 
2231 - 115 	2597 
6827 - 116 	6318 
18235 - 117 	4872 
10239 - 118 	2971 
7262 - 119 	5119 
11277 - 120 	5290 
4167 - 121 	1800 
4463 - 122 	3426 
8139 - 123 	4407 
678 - 124 	910 
15826 - 125 	3977 
17249 - 126 	1908 
8531 - 127 	4776 
17677 - 128 	2552 
11684 - 129 	1562 
17714 - 130 	5574 
5976 - 131 	2442 
7683 - 132 	501 
819 - 133 	3017 
17704 - 134 	1868 
6462 - 135 	280 
3489 - 136 	1955 
9607 - 137 	3023 
14162 - 138 	3519 
8837 - 139 	3735 
16617 - 140 	290 
7476 - 141 	83 
5809 - 142 	3145 
13075 - 143 	485 
17815 - 144 	214 
8565 - 145 	80 
7193 - 146 	4288 
1919 - 147 	227 
8376 - 148 	2448 
17947 - 149 	871 
10460 - 150 	1281 
11980 - 151 	3290 
12323 - 152 	2185 
8794 - 153 	1227 
4599 - 154 	2322 
18515 - 155 	1809 
6095 - 156 	392 
14465 - 157 	547 
11399 - 158 	3990 
2186 - 159 	1829 
9429 - 160 	754 
18071 - 161 	4217 
1607 - 162 	2420 
3125 - 163 	1571 
2505 - 164 	1223 
17632 - 165 	188 
9017 - 166 	2321 
10867 - 167 	548 
2279 - 168 	2306 
2168 - 169 	749 
740 - 170 	7721 
11197 - 171 	2052 
19249 - 172 	1191 
17515 - 173 	986 
7284 - 174 	1721 
13295 - 175 	3734 
9230 - 176 	562 
10863 - 177 	225 
3307 - 178 	380 
19346 - 179 	2055 
429 - 180 	3008 
8992 - 181 	2905 
12741 - 182 	1777 
3510 - 183 	1711 
18283 - 184 	3231 
17942 - 185 	1359 
19781 - 186 	5631 
5217 - 187 	2511 
6623 - 188 	1833 
4077 - 189 	3011 
18515 - 190 	2053 
6211 - 191 	1120 
7167 - 192 	2176 
14366 - 193 	1930 
18912 - 194 	780 
2690 - 195 	921 
9013 - 196 	1419 
13410 - 197 	4137 
2694 - 198 	4127 
2954 - 199 	1909 
3752 - 200 	651 
15996 - 201 	2495 
42 - 202 	168 
1155 - 203 	3719 
5573 - 204 	3173 
7925 - 205 	5471 
19577 - 206 	459 
748 - 207 	5497 
6717 - 208 	3018 
5739 - 209 	3596 
3680 - 210 	1016 
6842 - 211 	3844 
3964 - 212 	1736 
15331 - 213 	2251 
16113 - 214 	3585 
13389 - 215 	692 
15993 - 216 	590 
18096 - 217 	635 
1421 - 218 	6354 
10533 - 219 	58 
16002 - 220 	2114 
6084 - 221 	1146 
18761 - 222 	3859 
15764 - 223 	4730 
5080 - 224 	2768 
6606 - 225 	5300 
9187 - 226 	461 
7015 - 227 	2562 
13552 - 228 	1191 
289 - 229 	2534 
2605 - 230 	396 
525 - 231 	3973 
19291 - 232 	3289 
1898 - 233 	914 
8050 - 234 	844 
564 - 235 	2655 
16024 - 236 	2020 
7044 - 237 	682 
8057 - 238 	713 
9291 - 239 	2704 
1518 - 240 	17 
1620 - 241 	2270 
19209 - 242 	932 
2499 - 243 	3323 
6420 - 244 	1811 
9809 - 245 	972 
6067 - 246 	4588 
11758 - 247 	3979 
1312 - 248 	1549 
2397 - 249 	609 
16696 - 250 	182 
16175 - 251 	2229 
19896 - 252 	129 
17204 - 253 	3221 
8573 - 254 	8563 
19517 - 255 	272 
19930 - 256 	3784 
2397 - 257 	3219 
5618 - 258 	239 
2209 - 259 	1628 
427 - 260 	942 
16562 - 261 	562 
581 - 262 	53 
9952 - 263 	9401 
15089 - 264 	1799 
7913 - 265 	3762 
435 - 266 	4309 
2732 - 267 	2220 
844 - 268 	2319 
3430 - 269 	376 
18157 - 270 	3128 
17329 - 271 	1841 
4681 - 272 	947 
118 - 273 	1293 
8664 - 274 	104 
461 - 275 	1003 
519 - 276 	2122 
6629 - 277 	5427 
7506 - 278 	355 
13461 - 279 	1937 
17862 - 280 	10434 
8377 - 281 	2351 
6749 - 282 	4093 
7271 - 283 	15 
13962 - 284 	3555 
9466 - 285 	1513 
13783 - 286 	883 
1853 - 287 	2003 
15745 - 288 	36 
7346 - 289 	1027 
19997 - 290 	2060 
2445 - 291 	1756 
10730 - 292 	5719 
4957 - 293 	632 
9480 - 294 	915 
6976 - 295 	3390 
14067 - 296 	5053 
12401 - 297 	1724 
13631 - 298 	1785 
1912 - 299 	3005 
1222 - 300 	255 
19862 - 301 	2802 
6204 - 302 	3309 
19534 - 303 	3543 
1295 - 304 	308 
9210 - 305 	603 
13387 - 306 	520 
10722 - 307 	1877 
19620 - 308 	534 
18142 - 309 	603 
11028 - 310 	4330 
5924 - 311 	1283 
7314 - 312 	6003 
17473 - 313 	394 
6905 - 314 	1455 
18993 - 315 	4327 
13345 - 316 	469 
5201 - 317 	591 
2108 - 318 	169 
42 - 319 	2116 
5719 - 320 	340 
1183 - 321 	3169 
4671 - 322 	2178 
1000 - 323 	648 
15224 - 324 	3690 
16434 - 325 	5292 
7167 - 326 	815 
18744 - 327 	1442 
9445 - 328 	3403 
17589 - 329 	2067 
9985 - 330 	1898 
19592 - 331 	1221 
9770 - 332 	937 
16149 - 333 	1026 
2739 - 334 	3 
8597 - 335 	561 
13407 - 336 	426 
16208 - 337 	2084 
11299 - 338 	2115 
18091 - 339 	3102 
8658 - 340 	1468 
11120 - 341 	1367 
2454 - 342 	908 
5293 - 343 	940 
17834 - 344 	4320 
10773 - 345 	4707 
16603 - 346 	4821 
14894 - 347 	1633 
5821 - 348 	51 
10010 - 349 	1670 
16391 - 350 	4890 
18892 - 351 	4478 
11026 - 352 	814 
19362 - 353 	336 
4293 - 354 	4092 
18957 - 355 	2065 
661 - 356 	3377 
8424 - 357 	4892 
12873 - 358 	6168 
9201 - 359 	588 
4649 - 360 	1620 
5378 - 361 	4090 
16362 - 362 	1447 
10157 - 363 	8 
19627 - 364 	1850 
10050 - 365 	2236 
72 - 366 	2131 
11452 - 367 	875 
2109 - 368 	1331 
3000 - 369 	1688 
4890 - 370 	1145 
19702 - 371 	1331 
5090 - 372 	1521 
10016 - 373 	1162 
14111 - 374 	2042 
19348 - 375 	1628 
9943 - 376 	2268 
6023 - 377 	3002 
4179 - 378 	340 
19130 - 379 	1157 
14312 - 380 	5664 
18527 - 381 	2877 
16381 - 382 	2346 
4662 - 383 	2728 
7241 - 384 	3750 
538 - 385 	5154 
16755 - 386 	1789 
16713 - 387 	1227 
14104 - 388 	2115 
16810 - 389 	1931 
17992 - 390 	381 
8401 - 391 	2801 
4457 - 392 	241 
1417 - 393 	2650 
684 - 394 	5385 
2925 - 395 	1690 
1002 - 396 	1740 
9748 - 397 	3575 
17160 - 398 	1729 
5880 - 399 	2491 
5543 - 400 	3128 
5369 - 401 	1343 
6850 - 402 	1821 
8734 - 403 	3145 
11568 - 404 	2852 
6549 - 405 	2825 
19778 - 406 	1046 
4174 - 407 	4443 
3919 - 408 	4960 
667 - 409 	1629 
7018 - 410 	2080 
8183 - 411 	1831 
4310 - 412 	2974 
10896 - 413 	7002 
10819 - 414 	3497 
18314 - 415 	1482 
12661 - 416 	4945 
12128 - 417 	2460 
11192 - 418 	84 
11116 - 419 	2124 
3861 - 420 	1658 
3196 - 421 	1194 
13940 - 422 	2673 
16850 - 423 	1289 
10595 - 424 	2576 
8791 - 425 	2638 
5083 - 426 	1931 
15253 - 427 	867 
15151 - 428 	837 
15001 - 429 	2670 
2770 - 430 	1427 
10735 - 431 	972 
1407 - 432 	2213 
5068 - 433 	5707 
6915 - 434 	1941 
4576 - 435 	834 
10337 - 436 	3706 
14842 - 437 	1811 
6540 - 438 	2483 
16018 - 439 	1576 
16094 - 440 	841 
6776 - 441 	540 
5204 - 442 	221 
18833 - 443 	3129 
14065 - 444 	1197 
9127 - 445 	3186 
14049 - 446 	53 
8446 - 447 	1572 
15062 - 448 	2011 
17490 - 449 	1129 
10034 - 450 	2606 
12979 - 451 	3166 
6836 - 452 	2241 
18695 - 453 	153 
5086 - 454 	4519 
2920 - 455 	2760 
17550 - 456 	1261 
16144 - 457 	991 
6372 - 458 	1481 
919 - 459 	5208 
3172 - 460 	1507 
4086 - 461 	1317 
1500 - 462 	1894 
13560 - 463 	919 
5400 - 464 	1574 
19969 - 465 	6850 
13340 - 466 	4169 
9390 - 467 	4940 
5375 - 468 	1744 
3331 - 469 	11458 
1849 - 470 	2364 
18241 - 471 	7028 
10516 - 472 	1960 
15332 - 473 	2352 
1322 - 474 	597 
7640 - 475 	1075 
16394 - 476 	116 
5057 - 477 	1644 
19744 - 478 	3436 
15612 - 479 	2529 
7881 - 480 	2325 
19656 - 481 	1879 
7795 - 482 	649 
4910 - 483 	2410 
2797 - 484 	3196 
15514 - 485 	4990 
2003 - 486 	6469 
12673 - 487 	1976 
13833 - 488 	945 
14356 - 489 	2186 
10469 - 490 	3390 
1238 - 491 	1550 
8503 - 492 	1557 
17776 - 493 	613 
14636 - 494 	1320 
9804 - 495 	896 
16089 - 496 	1406 
18438 - 497 	106 
9185 - 498 	5264 
11893 - 499 	2702 
14050 - 500 	4172 
14678 - 501 	4567 
16079 - 502 	3839 
12853 - 503 	4105 
5509 - 504 	222 
10253 - 505 	2880 
1811 - 506 	226 
16083 - 507 	2224 
4914 - 508 	485 
7776 - 509 	1329 
1444 - 510 	2214 
3774 - 511 	709 
1228 - 512 	3062 
1429 - 513 	4869 
576 - 514 	2658 
6720 - 515 	4264 
14392 - 516 	1367 
1556 - 517 	1718 
9642 - 518 	2268 
9514 - 519 	2320 
14856 - 520 	2571 
11810 - 521 	511 
9644 - 522 	2052 
16252 - 523 	1953 
10701 - 524 	464 
3329 - 525 	3623 
750 - 526 	3860 
5654 - 527 	280 
7232 - 528 	2386 
58 - 529 	2129 
3263 - 530 	3032 
16648 - 531 	1839 
8575 - 532 	3825 
17738 - 533 	461 
3196 - 534 	1679 
15338 - 535 	1149 
12343 - 536 	1401 
6584 - 537 	3720 
13114 - 538 	1572 
10588 - 539 	246 
14767 - 540 	575 
923 - 541 	4114 
12374 - 542 	2033 
5408 - 543 	2197 
6986 - 544 	21 
3611 - 545 	3976 
6810 - 546 	2363 
11810 - 547 	3220 
9707 - 548 	2817 
398 - 549 	1559 
9236 - 550 	1187 
6048 - 551 	1882 
10664 - 552 	2608 
9374 - 553 	2003 
8412 - 554 	95 
8466 - 555 	2669 
9568 - 556 	2463 
7452 - 557 	2734 
19065 - 558 	164 
6732 - 559 	3391 
4659 - 560 	2157 
16917 - 561 	2359 
3514 - 562 	3351 
14977 - 563 	712 
19077 - 564 	729 
6001 - 565 	3127 
19682 - 566 	1765 
12614 - 567 	710 
5955 - 568 	586 
5276 - 569 	1110 
14127 - 570 	2926 
6283 - 571 	4333 
19458 - 572 	2360 
2677 - 573 	1464 
11940 - 574 	2378 
7382 - 575 	1514 
1017 - 576 	113 
2379 - 577 	1238 
11618 - 578 	10873 
11205 - 579 	688 
12840 - 580 	2590 
18731 - 581 	1337 
2443 - 582 	5304 
14054 - 583 	2410 
16875 - 584 	8092 
14590 - 585 	2548 
2858 - 586 	2166 
1363 - 587 	3806 
14087 - 588 	2762 
11721 - 589 	1515 
17052 - 590 	1637 
14447 - 591 	1469 
6934 - 592 	5460 
14275 - 593 	298 
5227 - 594 	529 
11558 - 595 	1240 
12496 - 596 	1839 
15729 - 597 	1992 
15527 - 598 	1939 
12598 - 599 	2291 
17284 - 600 	1371 
5289 - 601 	3894 
16577 - 602 	1473 
12664 - 603 	7003 
13101 - 604 	2022 
13679 - 605 	1746 
103 - 606 	513 
1589 - 607 	4002 
15573 - 608 	2064 
16352 - 609 	188 
18216 - 610 	2427 
9243 - 611 	590 
11582 - 612 	540 
19994 - 613 	919 
1608 - 614 	1407 
17085 - 615 	578 
8587 - 616 	1811 
13106 - 617 	2032 
16546 - 618 	1032 
9303 - 619 	1128 
16866 - 620 	529 
4343 - 621 	5421 
7609 - 622 	1399 
10056 - 623 	93 
5014 - 624 	1387 
8804 - 625 	1864 
6855 - 626 	541 
12919 - 627 	586 
16877 - 628 	189 
4470 - 629 	1533 
15288 - 630 	2261 
2240 - 631 	1597 
8174 - 632 	4338 
10194 - 633 	2248 
4507 - 634 	4214 
6027 - 635 	1227 
16098 - 636 	1754 
6167 - 637 	1525 
17144 - 638 	5949 
1134 - 639 	972 
9791 - 640 	3288 
1665 - 641 	1951 
19221 - 642 	930 
16872 - 643 	4991 
13940 - 644 	2615 
9707 - 645 	4060 
2234 - 646 	492 
9762 - 647 	562 
6219 - 648 	4423 
2686 - 649 	2293 
1515 - 650 	2004 
11862 - 651 	1548 
18391 - 652 	6607 
9025 - 653 	1050 
5939 - 654 	2690 
13690 - 655 	451 
14695 - 656 	17 
10967 - 657 	3295 
6181 - 658 	4216 
18108 - 659 	2139 
5201 - 660 	1529 
17312 - 661 	3132 
4583 - 662 	5037 
8567 - 663 	4832 
6544 - 664 	13249 
1960 - 665 	4883 
17028 - 666 	654 
7950 - 667 	283 
4961 - 668 	220 
2807 - 669 	2489 
10515 - 670 	2813 
16756 - 671 	47 
19379 - 672 	3954 
4241 - 673 	1165 
1209 - 674 	210 
11963 - 675 	563 
11183 - 676 	2759 
9165 - 677 	3835 
1642 - 678 	295 
3333 - 679 	2973 
16553 - 680 	3739 
8696 - 681 	3491 
4670 - 682 	1945 
8010 - 683 	2814 
7594 - 684 	2157 
18585 - 685 	2439 
16634 - 686 	5059 
916 - 687 	1672 
7512 - 688 	2800 
19973 - 689 	3949 
2994 - 690 	3532 
14960 - 691 	1287 
258 - 692 	584 
9037 - 693 	1930 
16144 - 694 	2339 
12882 - 695 	632 
342 - 696 	2575 
18933 - 697 	1630 
8373 - 698 	259 
4193 - 699 	3476 
2704 - 700 	5533 
1992 - 701 	2503 
1385 - 702 	22 
11226 - 703 	22 
9531 - 704 	3167 
55 - 705 	2991 
2030 - 706 	680 
15266 - 707 	829 
784 - 708 	1069 
5639 - 709 	6881 
16472 - 710 	1008 
1088 - 711 	2688 
19486 - 712 	1416 
17825 - 713 	1798 
7940 - 714 	1358 
7149 - 715 	1972 
3809 - 716 	2245 
19910 - 717 	2152 
17909 - 718 	1904 
1859 - 719 	3705 
13910 - 720 	7882 
7575 - 721 	1421 
9162 - 722 	2100 
11340 - 723 	2634 
10372 - 724 	868 
3604 - 725 	1047 
7046 - 726 	4636 
1998 - 727 	2892 
16579 - 728 	753 
19931 - 729 	2518 
6962 - 730 	5354 
14301 - 731 	3027 
10946 - 732 	2159 
1412 - 733 	398 
12279 - 734 	2509 
2974 - 735 	3748 
9874 - 736 	335 
10219 - 737 	1405 
11618 - 738 	4918 
16259 - 739 	339 
1053 - 740 	2867 
17295 - 741 	304 
11340 - 742 	1948 
9444 - 743 	1483 
6780 - 744 	802 
4058 - 745 	694 
6595 - 746 	1166 
7927 - 747 	2314 
15616 - 748 	1335 
518 - 749 	324 
151 - 750 	2468 
15615 - 751 	1930 
6805 - 752 	6191 
6001 - 753 	2662 
9658 - 754 	1957 
16577 - 755 	176 
5272 - 756 	506 
7062 - 757 	2359 
9197 - 758 	2289 
13026 - 759 	3740 
6296 - 760 	2048 
8847 - 761 	7492 
2210 - 762 	642 
4271 - 763 	907 
11068 - 764 	17 
15819 - 765 	10794 
1469 - 766 	2195 
1429 - 767 	2120 
3751 - 768 	4246 
3489 - 769 	2482 
9841 - 770 	2317 
19920 - 771 	2700 
12882 - 772 	3063 
7634 - 773 	1955 
13762 - 774 	6007 
12937 - 775 	516 
16443 - 776 	1778 
11915 - 777 	1374 
16225 - 778 	2010 
11935 - 779 	3851 
11445 - 780 	896 
736 - 781 	903 
14228 - 782 	2274 
349 - 783 	61 
16997 - 784 	2248 
10934 - 785 	664 
9656 - 786 	1683 
15743 - 787 	4257 
2500 - 788 	3855 
17818 - 789 	3146 
14395 - 790 	2428 
14322 - 791 	4924 
13059 - 792 	1281 
19003 - 793 	1712 
18341 - 794 	1093 
675 - 795 	2157 
2211 - 796 	7745 
240 - 797 	200 
9171 - 798 	3624 
5454 - 799 	1147 
17587 - 800 	125 
8747 - 801 	2668 
16636 - 802 	3288 
2505 - 803 	4930 
11784 - 804 	610 
918 - 805 	7425 
19124 - 806 	4238 
4003 - 807 	1080 
10470 - 808 	7074 
3458 - 809 	2940 
19387 - 810 	663 
17167 - 811 	4919 
14083 - 812 	1050 
5880 - 813 	1956 
470 - 814 	972 
17911 - 815 	4726 
10876 - 816 	4557 
4541 - 817 	678 
18821 - 818 	3201 
8734 - 819 	2158 
1846 - 820 	752 
14785 - 821 	1782 
13228 - 822 	174 
10476 - 823 	683 
11379 - 824 	4900 
17872 - 825 	39 
7872 - 826 	2213 
16629 - 827 	2102 
7435 - 828 	3042 
1789 - 829 	3548 
9588 - 830 	1078 
474 - 831 	2902 
6571 - 832 	2535 
6032 - 833 	3238 
18057 - 834 	672 
18901 - 835 	1309 
11275 - 836 	4962 
9038 - 837 	2643 
16698 - 838 	1881 
13651 - 839 	3321 
12591 - 840 	5181 
1251 - 841 	1799 
4070 - 842 	2658 
16216 - 843 	3000 
17089 - 844 	2530 
2949 - 845 	2246 
11568 - 846 	430 
16433 - 847 	695 
12299 - 848 	4233 
17588 - 849 	5504 
660 - 850 	1097 
17375 - 851 	636 
10005 - 852 	2204 
8464 - 853 	504 
15163 - 854 	1847 
13752 - 855 	1078 
2500 - 856 	1641 
3330 - 857 	1476 
8640 - 858 	3182 
14641 - 859 	2903 
15613 - 860 	183 
18618 - 861 	2087 
17058 - 862 	708 
7043 - 863 	2181 
4001 - 864 	898 
10979 - 865 	3250 
2384 - 866 	1965 
6655 - 867 	990 
3365 - 868 	1948 
411 - 869 	1 
12328 - 870 	1231 
9415 - 871 	1866 
18440 - 872 	517 
16150 - 873 	5826 
5505 - 874 	785 
19399 - 875 	3134 
13619 - 876 	3594 
448 - 877 	3238 
8319 - 878 	559 
15660 - 879 	1183 
17689 - 880 	1725 
17354 - 881 	1566 
10039 - 882 	1891 
12468 - 883 	4763 
9159 - 884 	3823 
4631 - 885 	4108 
9508 - 886 	1892 
18748 - 887 	3459 
343 - 888 	2823 
11562 - 889 	1966 
17883 - 890 	1512 
15301 - 891 	1453 
3247 - 892 	2533 
14499 - 893 	5551 
7962 - 894 	2037 
10254 - 895 	5869 
15829 - 896 	322 
7172 - 897 	2036 
17266 - 898 	3984 
19660 - 899 	2146 
199 - 900 	6069 
9448 - 901 	3080 
9709 - 902 	4215 
4891 - 903 	2740 
4091 - 904 	8157 
5177 - 905 	2032 
11365 - 906 	413 
9663 - 907 	782 
8089 - 908 	2783 
4016 - 909 	643 
16189 - 910 	4369 
379 - 911 	1110 
17649 - 912 	1306 
6916 - 913 	2035 
6105 - 914 	2335 
608 - 915 	653 
18735 - 916 	1829 
2245 - 917 	694 
17836 - 918 	171 
1712 - 919 	5005 
10856 - 920 	162 
8241 - 921 	277 
14951 - 922 	5640 
16031 - 923 	1005 
10711 - 924 	4971 
14067 - 925 	5449 
15169 - 926 	3064 
6110 - 927 	330 
18923 - 928 	926 
1720 - 929 	1621 
5009 - 930 	532 
14225 - 931 	322 
12417 - 932 	504 
11494 - 933 	3195 
6352 - 934 	5546 
5469 - 935 	1430 
13311 - 936 	657 
4815 - 937 	2359 
3973 - 938 	1580 
3259 - 939 	983 
18638 - 940 	1991 
13490 - 941 	2457 
12143 - 942 	2981 
6578 - 943 	2704 
2503 - 944 	2303 
17968 - 945 	2597 
5863 - 946 	122 
13512 - 947 	2630 
15607 - 948 	2060 
4902 - 949 	481 
17458 - 950 	2947 
14895 - 951 	438 
16884 - 952 	7307 
18453 - 953 	602 
10375 - 954 	5655 
11067 - 955 	1359 
6304 - 956 	992 
863 - 957 	2233 
749 - 958 	2860 
1374 - 959 	1329 
15464 - 960 	4349 
17198 - 961 	827 
9213 - 962 	2134 
15040 - 963 	2894 
7146 - 964 	1541 
18888 - 965 	2438 
11423 - 966 	4754 
852 - 967 	1091 
16096 - 968 	1266 
19981 - 969 	446 
5070 - 970 	2739 
6519 - 971 	5067 
3936 - 972 	3206 
8091 - 973 	2037 
19784 - 974 	10412 
9144 - 975 	6348 
2696 - 976 	2550 
4892 - 977 	2446 
5533 - 978 	2759 
9461 - 979 	539 
4158 - 980 	3058 
9743 - 981 	28 
4914 - 982 	411 
13654 - 983 	1692 
1433 - 984 	1574 
4258 - 985 	778 
17056 - 986 	7378 
12728 - 987 	635 
15403 - 988 	2825 
11184 - 989 	259 
19612 - 990 	990 
6293 - 991 	4142 
4016 - 992 	1771 
16873 - 993 	2391 
17878 - 994 	597 
8157 - 995 	1050 
13755 - 996 	1123 
10858 - 997 	3908 
361 - 998 	2573 
13867 - 999 	743 
8600 - 1000 	1140 
19674 - 1001 	3888 
13762 - 1002 	3134 
15199 - 1003 	2301 
0 - 1004 	2933 
6117 - 1005 	3658 
15543 - 1006 	2160 
10427 - 1007 	803 
2521 - 1008 	664 
4712 - 1009 	3827 
15200 - 1010 	10363 
8011 - 1011 	2115 
16450 - 1012 	795 
13348 - 1013 	1749 
1855 - 1014 	2020 
11791 - 1015 	1098 
15924 - 1016 	861 
12515 - 1017 	2530 
17467 - 1018 	225 
4966 - 1019 	113 
16403 - 1020 	90 
8432 - 1021 	1596 
6267 - 1022 	3267 
19786 - 1023 	4766 
5862 - 1024 	447 
3006 - 1025 	7342 
11110 - 1026 	3813 
5098 - 1027 	135 
16288 - 1028 	9253 
9976 - 1029 	461 
16264 - 1030 	2348 
13277 - 1031 	208 
6885 - 1032 	3907 
14144 - 1033 	3992 
9737 - 1034 	2486 
11132 - 1035 	838 
8564 - 1036 	848 
2250 - 1037 	795 
3340 - 1038 	2614 
6202 - 1039 	2174 
255 - 1040 	183 
2464 - 1041 	591 
430 - 1042 	961 
3561 - 1043 	2436 
2191 - 1044 	5687 
14580 - 1045 	2876 
16975 - 1046 	2294 
7988 - 1047 	1872 
1438 - 1048 	3638 
6751 - 1049 	1037 
11861 - 1050 	134 
13770 - 1051 	257 
2266 - 1052 	1525 
4370 - 1053 	1990 
2890 - 1054 	905 
248 - 1055 	903 
7022 - 1056 	5206 
983 - 1057 	4053 
14951 - 1058 	1060 
10776 - 1059 	1142 
8672 - 1060 	2242 
3203 - 1061 	3569 
10359 - 1062 	111 
17995 - 1063 	1223 
8356 - 1064 	1259 
18098 - 1065 	7858 
8482 - 1066 	1076 
10311 - 1067 	1001 
12573 - 1068 	2175 
2364 - 1069 	994 
2434 - 1070 	2383 
6334 - 1071 	2861 
14342 - 1072 	2258 
16256 - 1073 	167 
3922 - 1074 	4541 
6055 - 1075 	2789 
5453 - 1076 	798 
2174 - 1077 	450 
630 - 1078 	689 
10531 - 1079 	2959 
7160 - 1080 	1476 
4054 - 1081 	988 
1827 - 1082 	6006 
18475 - 1083 	968 
2118 - 1084 	248 
10608 - 1085 	4118 
11762 - 1086 	708 
9201 - 1087 	1057 
13590 - 1088 	2304 
3498 - 1089 	2255 
8257 - 1090 	5504 
6638 - 1091 	128 
14991 - 1092 	2016 
19719 - 1093 	3427 
2750 - 1094 	7620 
15170 - 1095 	5399 
289 - 1096 	984 
9009 - 1097 	2892 
1761 - 1098 	72 
12561 - 1099 	321 
19768 - 1100 	4006 
8994 - 1101 	1892 
17377 - 1102 	716 
9619 - 1103 	704 
8522 - 1104 	8019 
11157 - 1105 	3193 
14785 - 1106 	3945 
8264 - 1107 	3924 
19370 - 1108 	4130 
1706 - 1109 	13700 
19896 - 1110 	3822 
5484 - 1111 	3055 
5850 - 1112 	120 
12342 - 1113 	1906 
14272 - 1114 	3149 
14267 - 1115 	1174 
17770 - 1116 	1866 
13917 - 1117 	394 
250 - 1118 	744 
18005 - 1119 	8406 
19342 - 1120 	760 
18070 - 1121 	560 
1613 - 1122 	164 
7188 - 1123 	232 
1810 - 1124 	2892 
516 - 1125 	948 
6020 - 1126 	513 
4789 - 1127 	2576 
11540 - 1128 	1632 
5161 - 1129 	938 
1112 - 1130 	229 
1410 - 1131 	154 
8977 - 1132 	1131 
4917 - 1133 	3247 
18831 - 1134 	317 
13572 - 1135 	1597 
16362 - 1136 	1159 
16328 - 1137 	1730 
6681 - 1138 	7918 
18812 - 1139 	1322 
13555 - 1140 	446 
2169 - 1141 	1387 
5297 - 1142 	1943 
8185 - 1143 	741 
7256 - 1144 	4633 
5408 - 1145 	5488 
16683 - 1146 	4802 
12302 - 1147 	3273 
5623 - 1148 	1394 
9487 - 1149 	1190 
18950 - 1150 	3404 
17388 - 1151 	2054 
7351 - 1152 	1784 
16548 - 1153 	7960 
11617 - 1154 	3289 
15121 - 1155 	1531 
14610 - 1156 	4582 
7671 - 1157 	201 
11679 - 1158 	2971 
5956 - 1159 	63 
6427 - 1160 	1415 
2978 - 1161 	1995 
2490 - 1162 	2517 
17866 - 1163 	2500 
19537 - 1164 	3645 
806 - 1165 	1672 
2817 - 1166 	2654 
16431 - 1167 	261 
7965 - 1168 	2786 
15324 - 1169 	1734 
800 - 1170 	487 
12317 - 1171 	2575 
722 - 1172 	1519 
14134 - 1173 	4392 
16713 - 1174 	4584 
4119 - 1175 	5169 
8114 - 1176 	802 
2457 - 1177 	2256 
2911 - 1178 	4795 
1277 - 1179 	2507 
8127 - 1180 	232 
14213 - 1181 	3998 
3339 - 1182 	843 
