Edge 	Weight
846 - 1 	189 
3036 - 2 	2717 
15384 - 3 	4646 
18131 - 4 	78 
12335 - 5 	14 
4363 - 6 	825 
15681 - 7 	4166 
10248 - 8 	6950 
11969 - 9 	4722 
13783 - 10 	1789 
5238 - 11 	6091 
18370 - 12 	454 
5904 - 13 	2150 
10247 - 14 	6590 
16081 - 15 	308 
8147 - 16 	672 
16557 - 17 	1039 
16102 - 18 	2393 
17121 - 19 	863 
9956 - 20 	2138 
4527 - 21 	2850 
17525 - 22 	3532 
3937 - 23 	8985 
4790 - 24 	2471 
2644 - 25 	7541 
2728 - 26 	5257 
493 - 27 	976 
16581 - 28 	1414 
13007 - 29 	2605 
1455 - 30 	9117 
10358 - 31 	1404 
332 - 32 	3069 
6410 - 33 	218 
10653 - 34 	2598 
11461 - 35 	857 
4387 - 36 	1250 
15595 - 37 	13 
9730 - 38 	726 
18710 - 39 	2316 
7550 - 40 	2727 
17325 - 41 	1047 
18009 - 42 	316 
4714 - 43 	459 
877 - 44 	486 
12406 - 45 	364 
17574 - 46 	1127 
5426 - 47 	1830 
6095 - 48 	2965 
2486 - 49 	3359 
14177 - 50 	2298 
886 - 51 	1397 
1324 - 52 	2643 
19122 - 53 	5375 
9713 - 54 	1107 
8107 - 55 	1700 
18187 - 56 	962 
1258 - 57 	2831 
15338 - 58 	2164 
14943 - 59 	150 
14956 - 60 	1383 
10828 - 61 	4256 
9337 - 62 	1734 
10400 - 63 	4293 
19497 - 64 	1095 
5654 - 65 	5578 
13968 - 66 	1172 
11278 - 67 	3694 
3561 - 68 	2893 
2285 - 69 	368 
8618 - 70 	235 
3150 - 71 	2100 
19072 - 72 	1620 
11068 - 73 	1937 
16994 - 74 	2934 
14784 - 75 	3378 
6371 - 76 	1163 
17221 - 77 	3513 
15311 - 78 	724 
16396 - 79 	3016 
10905 - 80 	10291 
4495 - 81 	2648 
17722 - 82 	2815 
12317 - 83 	4822 
17973 - 84 	4549 
18344 - 85 	566 
18235 - 86 	8876 
11163 - 87 	1100 
8588 - 88 	8 
14868 - 89 	693 
14332 - 90 	3325 
13227 - 91 	2229 
12649 - 92 	4678 
5262 - 93 	4173 
9844 - 94 	141 
5237 - 95 	1899 
5545 - 96 	726 
