n,100,200,250,500,750,1000,1250,1500,2000,
dijkstra_linear_search.cpp,0,.01,.01,.07,.21,.46,.81,1.48,3.24,
dijkstra_priority_queue.cpp,.01,.04,.09,.69,2.60,7.85,20.09,41.27,129.08,
