n,100,200,500,750,1000,1250,1500,1750,2000,2500,3000,3500,4000,4500,5000,
floyds_adj.cpp,.01,.06,1.07,1.41,3.27,5.93,9.24,11.38,16.36,27.02,43.28,61.51,93.17,130.02,173.22,
floyds_spawn.cpp,.06,.17,.56,1.22,1.95,4.61,5.38,8.27,10.15,15.92,23.51,30.82,
