n,100,200,500,750,1000,1250,1500,1750,2000,2500,3000,3500,4000,4500,5000,
floyds_spawn.cpp,.04,.09,.23,.50,.74,1.15,1.74,2.45,3.38,5.96,9.86,15.17,21.77,30.33,40.45,
floyds_sync.cpp,.01,.02,.07,.17,.32,.70,1.20,1.82,2.72,5.32,9.03,14.75,20.69,28.76,38.65,
