n,100,200,500,1000,1500,2000,3000,
dijkstra_linear_search.cpp,0,.01,.08,.51,1.71,3.75,12.42,
dijkstra_priority_queue.cpp,0,.01,.08,.35,1.17,2.63,8.79,
floyds_spawn.cpp,.04,.07,.22,.62,1.57,3.24,9.70,
floyds_sync.cpp,.01,.02,.07,.32,1.24,2.74,8.88,
